Longitude,Latidute,LengthPhaseRed,LengthPhaseGreen
9.964564,53.557125,30,30
9.9938403,53.5586775,30,30
9.9679448,53.5886582,30,30
9.9641157,53.5590874,30,30
9.9653265,53.5614255,30,30
9.9743639,53.5735665,30,30
10.0291878,53.5783961,30,30
10.0295672,53.5783897,30,30
10.0293891,53.5781797,30,30
10.0327139,53.591594,30,30
10.0330521,53.5825208,30,30
9.9709413,53.5500085,30,30
10.0206613,53.589251,30,30
10.0207083,53.5893521,30,30
10.0191071,53.5802909,30,30
10.0126382,53.5901085,30,30
9.9730016,53.5744025,30,30
9.9730559,53.574173,30,30
9.9733964,53.5741512,30,30
9.9733668,53.5744088,30,30
9.9772556,53.5775406,30,30
10.0028577,53.5869962,30,30
9.9615516,53.5738102,30,30
9.9713415,53.5501331,30,30
10.0052298,53.550188,30,30
9.956731,53.5827547,30,30
10.0132294,53.5527277,30,30
9.9686328,53.5512644,30,30
9.9874596,53.5901851,30,30
10.0258021,53.5518562,30,30
10.0243229,53.5640299,30,30
10.0379419,53.5605525,30,30
9.9823981,53.5877868,30,30
9.9825043,53.587639,30,30
9.9821736,53.5870683,30,30
9.9873438,53.5904279,30,30
9.9871673,53.5900675,30,30
10.0262307,53.5517767,30,30
10.0262551,53.5515051,30,30
10.0263149,53.5514342,30,30
9.9693802,53.545826,30,30
10.0128104,53.5898946,30,30
10.0334549,53.5740194,30,30
10.0333489,53.5736781,30,30
10.0333903,53.5738653,30,30
10.02854,53.5712778,30,30
10.0196218,53.565762,30,30
10.0333459,53.5541157,30,30
10.0329571,53.554128,30,30
10.0331222,53.5543692,30,30
10.0061472,53.5858384,30,30
10.0058849,53.5859068,30,30
10.0063461,53.585907,30,30
10.0062228,53.5860427,30,30
10.0171112,53.5641361,30,30
10.0171524,53.5636767,30,30
10.0168581,53.5637419,30,30
9.9937116,53.5622573,30,30
9.9842473,53.5557686,30,30
9.9873991,53.5556239,30,30
10.0026088,53.5569147,30,30
9.9639345,53.5593785,30,30
9.9962593,53.5492859,30,30
9.9553738,53.5614454,30,30
10.0434747,53.5683515,30,30
10.0431412,53.5685312,30,30
10.0065951,53.5499922,30,30
9.9835969,53.5484169,30,30
9.9848231,53.5481632,30,30
9.9696692,53.5497865,30,30
9.9946073,53.5649934,30,30
10.0143025,53.5715295,30,30
10.0277183,53.5699415,30,30
9.9850576,53.5638145,30,30
10.0333867,53.5737378,30,30
9.9941673,53.5584171,30,30
10.0257064,53.5668714,30,30
10.0150463,53.562412,30,30
10.0163121,53.5621482,30,30
10.0152681,53.5621549,30,30
10.0149912,53.5622608,30,30
10.0154298,53.5626112,30,30
10.0151002,53.5627853,30,30
10.011662,53.557715,30,30
10.0134349,53.5587568,30,30
10.0130675,53.5587731,30,30
10.013095,53.5589934,30,30
10.0076778,53.5549626,30,30
10.040863,53.5556362,30,30
10.0407743,53.5552706,30,30
10.0401918,53.5553948,30,30
10.0408593,53.5555727,30,30
10.017626,53.5490352,30,30
10.0093508,53.5784093,30,30
9.9656954,53.5657038,30,30
10.0426659,53.5889949,30,30
9.9689573,53.5850934,30,30
9.9692408,53.5843834,30,30
10.0412098,53.5795966,30,30
10.0414641,53.5796459,30,30
10.0410138,53.580177,30,30
10.039954,53.5802057,30,30
10.0402551,53.5804603,30,30
10.0406671,53.5552897,30,30
9.9781543,53.5719348,30,30
9.978339,53.5728613,30,30
10.0327796,53.5545994,30,30
9.9646195,53.5551146,30,30
9.9900009,53.5610833,30,30
9.9903285,53.5607973,30,30
9.9819239,53.5596417,30,30
9.9760464,53.5622864,30,30
10.0058096,53.5486961,30,30
10.0411689,53.5869665,30,30
10.027322,53.5703986,30,30
10.0335337,53.5870201,30,30
10.0329579,53.5871723,30,30
10.0332153,53.5873888,30,30
10.0334648,53.5876136,30,30
10.0328699,53.5878787,30,30
10.0336604,53.5880102,30,30
10.0331217,53.5882583,30,30
10.0329607,53.5906238,30,30
10.0326814,53.5910065,30,30
