startTime,endTime,spawningIntervalInMinutes,spawningAmount,hasBike,hasCar,prefersBike,prefersCar,usesBikeAndRide,usesOwnBikeOutside,usesOwnCar,source,destination,discriminator
10:00,10:01,5,570,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
11:00,11:01,5,514,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
12:00,12:01,5,550,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
13:00,13:01,5,650,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
14:00,14:01,5,765,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
15:00,15:01,5,850,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
16:00,16:01,5,857,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
17:00,17:01,5,755,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
18:00,18:01,5,579,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
19:00,19:01,5,379,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
20:00,20:01,5,205,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
21:00,21:01,5,94,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
22:00,22:01,5,34,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
23:00,23:01,5,14,0,0.85,0.1,0.9,0.2,0.2,0.75,"POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))","POLYGON ((9.987153027068842 53.58894998955475, 9.987153027068842 53.550426132105, 10.020563678323839 53.550426132105, 10.020563678323839 53.58894998955475, 9.987153027068842 53.58894998955475))",2
