Longitude,Latidute,LengthPhaseRed,LengthPhaseGreen
9.9715772,53.5709791,300,300
9.9711184,53.5712733,300,300
10.0168044,53.5505492,300,300
10.0261641,53.5568691,300,300
9.970818,53.5500704,300,300
9.9983231,53.5791931,300,300
9.9971105,53.5842822,300,300
10.0036002,53.5571629,300,300
10.0023575,53.5571402,300,300
10.0087752,53.5526129,300,300
9.9946261,53.551546,300,300
9.982201,53.5898336,300,300
10.0267205,53.5692196,300,300
9.9836223,53.5905987,300,300
10.0060852,53.5476982,300,300
10.0054951,53.5477319,300,300
9.9698611,53.5673628,300,300
9.988307,53.5726625,300,300
9.9886571,53.5728423,300,300
9.9886401,53.5724818,300,300
9.9936978,53.5472985,300,300
9.991907,53.5891053,300,300
10.0057153,53.5519301,300,300
10.0257353,53.5512809,300,300
10.016161,53.5520274,300,300
10.0158599,53.5520885,300,300
10.0188232,53.5525326,300,300
9.9758085,53.5790296,300,300
10.0154926,53.5889523,300,300
10.0158096,53.5890089,300,300
10.0157918,53.5887465,300,300
10.02722,53.5699802,300,300
10.0440652,53.5915972,300,300
10.0445182,53.5912492,300,300
9.9859877,53.581426,300,300
9.9863,53.5812647,300,300
9.9857914,53.5812478,300,300
9.986119,53.5810966,300,300
10.033152,53.5908607,300,300
10.0272561,53.5701823,300,300
10.0240601,53.5534466,300,300
10.0403939,53.5557097,300,300
10.0236176,53.5583684,300,300
10.0235808,53.558525,300,300
10.0447487,53.5675341,300,300
9.9954334,53.5687153,300,300
9.965971,53.5692228,300,300
9.9776396,53.5643051,300,300
9.9794541,53.5658108,300,300
9.9789717,53.5661135,300,300
9.9966109,53.5530972,300,300
9.9801681,53.5551198,300,300
9.9800849,53.5552372,300,300
9.9842531,53.5555157,300,300
9.9845187,53.5556677,300,300
9.9839468,53.5556611,300,300
9.9765884,53.5577156,300,300
9.9760116,53.5624975,300,300
10.0433543,53.5482457,300,300
10.0418914,53.5509474,300,300
10.0414435,53.5509224,300,300
10.0417517,53.5507806,300,300
10.0415817,53.5511143,300,300
9.9639299,53.5579973,300,300
9.9638855,53.5582961,300,300
9.964564,53.557125,300,300
9.9938403,53.5586775,300,300
9.9679448,53.5886582,300,300
9.9641157,53.5590874,300,300
9.9653265,53.5614255,300,300
9.9743639,53.5735665,300,300
10.0291878,53.5783961,300,300
10.0295672,53.5783897,300,300
10.0293891,53.5781797,300,300
10.0327139,53.591594,300,300
10.0330521,53.5825208,300,300
9.9709413,53.5500085,300,300
10.0206613,53.589251,300,300
10.0207083,53.5893521,300,300
10.0191071,53.5802909,300,300
10.0126382,53.5901085,300,300
9.9730016,53.5744025,300,300
9.9730559,53.574173,300,300
9.9733964,53.5741512,300,300
9.9733668,53.5744088,300,300
9.9772556,53.5775406,300,300
10.0028577,53.5869962,300,300
9.9615516,53.5738102,300,300
9.9713415,53.5501331,300,300
10.0052298,53.550188,300,300
9.956731,53.5827547,300,300
10.0132294,53.5527277,300,300
9.9686328,53.5512644,300,300
9.9874596,53.5901851,300,300
10.0258021,53.5518562,300,300
10.0243229,53.5640299,300,300
10.0379419,53.5605525,300,300
9.9823981,53.5877868,300,300
9.9825043,53.587639,300,300
9.9821736,53.5870683,300,300
9.9873438,53.5904279,300,300
9.9871673,53.5900675,300,300
10.0262307,53.5517767,300,300
10.0262551,53.5515051,300,300
10.0263149,53.5514342,300,300
9.9693802,53.545826,300,300
10.0128104,53.5898946,300,300
10.0334549,53.5740194,300,300
10.0333489,53.5736781,300,300
10.0333903,53.5738653,300,300
10.02854,53.5712778,300,300
10.0196218,53.565762,300,300
10.0333459,53.5541157,300,300
10.0329571,53.554128,300,300
10.0331222,53.5543692,300,300
10.0061472,53.5858384,300,300
10.0058849,53.5859068,300,300
10.0063461,53.585907,300,300
10.0062228,53.5860427,300,300
10.0171112,53.5641361,300,300
10.0171524,53.5636767,300,300
10.0168581,53.5637419,300,300
9.9937116,53.5622573,300,300
9.9842473,53.5557686,300,300
9.9873991,53.5556239,300,300
10.0026088,53.5569147,300,300
9.9639345,53.5593785,300,300
9.9962593,53.5492859,300,300
9.9553738,53.5614454,300,300
10.0434747,53.5683515,300,300
10.0431412,53.5685312,300,300
10.0065951,53.5499922,300,300
9.9835969,53.5484169,300,300
9.9848231,53.5481632,300,300
9.9696692,53.5497865,300,300
9.9946073,53.5649934,300,300
10.0143025,53.5715295,300,300
10.0277183,53.5699415,300,300
9.9850576,53.5638145,300,300
10.0333867,53.5737378,300,300
9.9941673,53.5584171,300,300
10.0257064,53.5668714,300,300
10.0150463,53.562412,300,300
10.0163121,53.5621482,300,300
10.0152681,53.5621549,300,300
10.0149912,53.5622608,300,300
10.0154298,53.5626112,300,300
10.0151002,53.5627853,300,300
10.011662,53.557715,300,300
10.0134349,53.5587568,300,300
10.0130675,53.5587731,300,300
10.013095,53.5589934,300,300
10.0076778,53.5549626,300,300
10.040863,53.5556362,300,300
10.0407743,53.5552706,300,300
10.0401918,53.5553948,300,300
10.0408593,53.5555727,300,300
10.017626,53.5490352,300,300
10.0093508,53.5784093,300,300
9.9656954,53.5657038,300,300
10.0426659,53.5889949,300,300
9.9689573,53.5850934,300,300
9.9692408,53.5843834,300,300
10.0412098,53.5795966,300,300
10.0414641,53.5796459,300,300
10.0410138,53.580177,300,300
10.039954,53.5802057,300,300
10.0402551,53.5804603,300,300
10.0406671,53.5552897,300,300
9.9781543,53.5719348,300,300
9.978339,53.5728613,300,300
10.0327796,53.5545994,300,300
9.9646195,53.5551146,300,300
9.9900009,53.5610833,300,300
