Longitude,Latitude
10.00079,53.55646
10.00072,53.55643
10.00065,53.55637
10.00063,53.55636
10.00065,53.5563
10.0007,53.55613
10.0007,53.55613
10.00069,53.55608
10.00066,53.55598
10.00064,53.55593
10.00063,53.55589
10.0006,53.55583
10.00051,53.5557
10.00043,53.55559
10.00037,53.55551
10.00034,53.55547
10.00029,53.55542
10.00019,53.55532
10.00013,53.55528
9.99983,53.55509
9.99964,53.55497
9.99891,53.55451
9.998,53.55395
9.99753,53.55367
9.99707,53.55338
9.99661,53.5531
9.99657,53.55307
9.99645,53.553
9.99633,53.55293
9.99566,53.55251
9.99556,53.55246
9.99556,53.55246
9.99556,53.55246
9.99551,53.55243
9.99542,53.55237
9.99514,53.55222
9.99502,53.55217
9.9949,53.55213
9.99481,53.5521
9.99473,53.55209
9.99473,53.55209
9.99467,53.55209
9.99462,53.55209
9.99458,53.55209
9.99453,53.5521
9.99448,53.55211
9.99444,53.55213
9.99439,53.55214
9.99435,53.55216
9.994,53.55238
9.99384,53.55249
9.9938,53.55251
9.99376,53.55254
9.99329,53.55284
9.99322,53.55289
9.99279,53.55317
9.99231,53.55348
9.99182,53.5538
9.99182,53.5538
9.99185,53.55382
9.99193,53.55386
9.99193,53.55386
9.99187,53.5539
9.99187,53.5539
